,segmentId,system1Id,system2Id,system3Id,system1rank,system2rank,system3rank
198,7,Baseline,Ranta,LoLa,1,3,3
199,7,Baseline,Ranta,LoLa,2,3,1
200,7,Baseline,Ranta,LoLa,3,2,1
201,7,Baseline,Ranta,LoLa,3,2,1
202,7,Baseline,Ranta,LoLa,1,2,3
203,8,Baseline,Ranta,LoLa,3,2,1
204,8,Baseline,Ranta,LoLa,3,2,1
205,8,Baseline,Ranta,LoLa,3,2,1
206,8,Baseline,Ranta,LoLa,2,2,1
207,8,Baseline,Ranta,LoLa,2,3,1
208,8,Baseline,Ranta,LoLa,2,2,1
209,8,Baseline,Ranta,LoLa,3,2,1
210,9,Baseline,Ranta,LoLa,3,3,2
211,9,Baseline,Ranta,LoLa,2,2,1
212,9,Baseline,Ranta,LoLa,1,1,3
213,9,Baseline,Ranta,LoLa,2,2,1
214,9,Baseline,Ranta,LoLa,2,2,1
215,9,Baseline,Ranta,LoLa,1,1,3
216,9,Baseline,Ranta,LoLa,1,1,2
217,10,LoLa,Ranta,Baseline,2,2,2
218,10,LoLa,Ranta,Baseline,1,1,1
219,10,LoLa,Ranta,Baseline,1,1,1
220,10,LoLa,Ranta,Baseline,1,1,1
221,10,LoLa,Ranta,Baseline,1,1,1
222,10,LoLa,Ranta,Baseline,1,1,1
223,10,LoLa,Ranta,Baseline,1,1,1
224,12,Ranta,Baseline,LoLa,2,3,1
225,12,Ranta,Baseline,LoLa,2,3,1
226,12,Ranta,Baseline,LoLa,1,2,1
227,12,Ranta,Baseline,LoLa,1,2,1
228,12,Ranta,Baseline,LoLa,1,3,2
229,12,Ranta,Baseline,LoLa,2,3,1
230,12,Ranta,Baseline,LoLa,2,1,3
